"whale_num","whale_ID","dive_num","dive_type","descent_dur","ascent_dur","descent_rate","ascent_rate","dive_dur","post_dive_surf","t_to_click","click_dur","fluke_rate","odba","max_depth","head_var"
6," zc04_175a ",2,0,4.61,3.533333,0.776191,0.885251,0.190278,2.836667,1.545389,0,0.14107,0.49507,210.605933,0.046862
6," zc04_175a ",3,0,4.133333,6.033333,0.70804,0.378925,0.2475,70.4,1.250611,0,0.07735,0.357579,154.62044,0.019762
6," zc04_175a ",4,0,14.453333,31.656667,1.166437,0.542647,1.116167,1.54,1.085806,0.591222,0.175914,0.714218,1145.178266,0.081033
6," zc04_175a ",5,0,5.143333,6.52,0.673497,0.466667,0.283611,41.703333,0.776528,0,0.104386,0.443723,204.448732,0.102118
6," zc04_175a ",6,0,11.703333,29.61,1.500399,0.574443,1.142111,6.257245,0.698778,0.682278,0.17586,0.68847,1134.126668,0.054135
7," zc04_179a ",1,0,2.58,2.296667,1.670922,1.571021,0.137278,3.586667,0.14425,0,0.169939,0.581863,240.979851,0.104498
7," zc04_179a ",2,0,6.856667,17.35,1.700803,0.640552,0.850167,2.883333,1.673167,0.479111,0.236651,0.817754,740.935472,0.059293
7," zc04_179a ",3,0,8.796667,5.353333,0.590462,0.920216,0.288444,78.62,1.336667,0,0.134101,0.343851,328.599695,0.00848
7," zc04_179a ",4,0,11.44,14.91,1.071068,0.769598,0.841833,6.257245,1.42661,0.575944,0.238045,0.857511,765.103155,0.107046
8," zc05_167a ",1,0,1.406667,2.86,1.412788,0.590189,0.126667,1.833333,0.552528,0,0.047492,0.333803,112.565613,0.025972
8," zc05_167a ",2,0,12.91,4.493333,0.326197,0.889432,0.357944,3.666667,0.164028,0,0.059264,0.212586,266.472753,0.021537
8," zc05_167a ",3,0,12.19,23.286667,1.472823,0.766917,1.0055,1.783333,2.312556,0.664639,0.203533,0.709629,1190.710511,0.06178
8," zc05_167a ",4,0,5.366667,5.303333,0.811233,0.749302,0.277056,2.056667,2.005778,0,0.128028,0.403448,265.045785,0.020827
8," zc05_167a ",5,0,7.743333,4.643333,0.477973,0.741086,0.315944,1.91,1.655556,0,0.049586,0.288399,229.664395,0.00531
8," zc05_167a ",6,0,9.5,3.903333,0.384075,0.876767,0.343389,1.533333,1.280333,0,0.048638,0.254575,228.331064,0.007076
8," zc05_167a ",7,0,8.68,4.546667,0.385945,0.684633,0.362889,1.436667,0.891889,0,0.045854,0.267518,207.601278,0.017944
8," zc05_167a ",8,0,9.713333,9.516667,0.325332,0.309404,0.401,1.27,0.466944,0,0.033946,0.287891,196.351272,0.0334
8," zc05_167a ",9,0,8.353333,6.576667,0.365213,0.42728,0.306389,2.996667,0.139389,0,0.03319,0.238259,187.528572,0.046349
8," zc05_167a ",10,0,13.54,24.886667,1.483509,0.801539,1.006667,2.496667,0.854944,0.632667,0.220303,0.795251,1329.958107,0.078902
